ingredient,recommend menu,available
หอยนางรม 190 บาท/กิโล,หอยนางรมผัดกะเพราอบชีส,
หอยแมลงภู่ 169 บาท/กิโล,"แกงคั่วสัปปะรดหอยแมลงภู่, หอยแมลงภู่อบชีสซอสต้มยำ",
หอยแครง 169 บาท/กิโล,ทาโกะยากิหอยแครง,
หอยลาย 189 บาท/กิโล,"หอยลายทอดกระทะร้อน, หอยลายผัดพริกเผา",
หอยหวาน 719 บาท/กิโล,หอยหวานอบสมุนไพร,
หอยเชลล์ 220 บาท/กิโล,"หอยเชลล์อบเนย, หอยเชลล์ย่างชีส,พาสต้าหอยเชลล์",
หอยตลับ 159 บาท/กิโล,"หอยตลับผัดฉ่า, หอยตลับอบใบโหระพา",
หอยฮอกกิ 859 บาท/กิโล,ซูชิเนื้อหอยฮอกกิ,
หอยเป่าฮื้อ 350 บาท/กิโล,เซตบล็อกข้าวหน้าหอยเป่าฮื้อราดซอสโชยุ,
หอยสึบุ 389 บาท/กิโล,หอยสึบุราดซาชิมิ,
